OT;NV/GOM;DIRECCION;CONTRATISTA;COMUNA;ZONAL;ITO;FECHA_INSPECCION;TIPO_TRABAJO;SUPERVISOR;HAY HALLAZGO;INCIDENCIA;NOMBRE DE INCIDENCIA;TIPO;HALLAZGO;OBSERVACION;TOTAL_HALLAZGO;MES;AÑO;TIPO_OBRA
16925;PI;LAGO PIRIHUEICO 6502;BUREAU VERITAS (SCN);LA FLORIDA;FLORIDA;JAVIER INOSTROZA;2021-04-15;SUBTERRÁNEA;FRANCO MONJE;NO;;;;REPARAR O REALIZAR MEJORAMIENTO DE LAS LOSA INFERIOR DEBIDO A PROBLEMAS DE MALA TERMINACION;;0;ABRIL;2021;OO.CC
99275;ID;GASTON DESPOUY 8740;BUREAU VERITAS (SCN);LA CISTERNA;FLORIDA;JOAN DIAZ ;2021-04-16;SUBTERRÁNEA;JHONNY PERALTA;NO;;;;;;0;ABRIL;2021;OO.CC
2825815;NV;DIEGO PORTALES 817;BUREAU VERITAS (ESPECTRO);LA FLORIDA;FLORIDA;JAVIER INOSTROZA;2021-04-27;SUBTERRÁNEA;FRANCO MONJE;NO;;;;CAMARA CONSTRUIDA POR CLIENTE CUENTA CON ANOMALIAS DE CONSTRUCCION ;;0;ABRIL;2021;OO.CC
2825815;NV;DIEGO PORTALES 817;BUREAU VERITAS (ESPECTRO);LA FLORIDA;FLORIDA;JAVIER INOSTROZA;2021-04-27;SUBTERRÁNEA;FRANCO MONJE;NO;;;;LOSA SUPERIOR CUENTA CON ENFIERRADURA A LA VISTA CON FALTA DE VIBRADO;;0;ABRIL;2021;OO.CC
2852244;NV;PEDRO TORRES 1288;ESPECTRO;ÑUÑOA;FLORIDA;JAIME SOTO;2021-04-29;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;ABRIL;2021;OO.CC
191365;ID;ONOFRE JARPA 10409;BUREAU VERITAS;LA REINA;FLORIDA;JAIME SOTO;2021-05-07;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;MAYO;2021;OO.CC
108651;ID;EL ROBLE 187;ENERPA;LA FLORIDA;FLORIDA;JAVIER INOSTROZA;2021-05-07;SUBTERRÁNEA;XIMENA VASQUEZ;NO;;;;;;0;MAYO;2021;OO.CC
2848982;NV;AVENIDA QUILIN ESQUINA HACIENDA MACUL ;BUREAU VERITAS;PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-05-17;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;MAYO;2021;OO.CC
2853015;NV;LOS PRESIDENTES 9998 AVANCE 1;BUREAU VERITAS;PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-05-19;SUBTERRÁNEA;JHONNY PERALTA;NO;;;;;;0;MAYO;2021;OO.CC
172426;ID;DEPARTAMENTAL N° 3542 N° 3;BUREAU VERITAS (ESPECTRO);MACUL;FLORIDA;JOAN DIAZ ;2021-05-24;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;MAYO;2021;OO.CC
2875123;NV;NELSON N° 1816;ENERPA;ÑUÑOA;FLORIDA;JOAN DIAZ ;2021-05-25;SUBTERRÁNEA;XIMENA VASQUEZ;NO;;;;;;0;MAYO;2021;OO.CC
189631;ID;AV JOSE PEDRO ALESSANDRI N° 1363;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-05-26;SUBTERRÁNEA;CARLOS MUÑOZ;NO;;;;;;0;MAYO;2021;OO.CC
176296;ID;LOS TRES ANTONIOS N° 277;ENERPA;ÑUÑOA;FLORIDA;JOAN DIAZ ;2021-06-02;SUBTERRÁNEA;XIMENA VASQUEZ;NO;;;;;;0;JUNIO;2021;OO.CC
2816197;NV;AV LO OVALLE 0330 AVANCE 1;BUREAU VERITAS;LA CISTERNA;FLORIDA;JAIME SOTO;2021-06-04;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;JUNIO;2021;OO.CC
2848982;NV;AV QUILIN ESQUINA HACIENDA MACUL;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-08;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;CAMARA DM-2200 FALTA INSTALACION DE CADENA ENTRE TAPA Y MARCO;;0;JUNIO;2021;OO.CC
166106;ID;ALVARO CASANOVA 661 ;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-08;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;CAMARA DM-2200 DETALLES IMPORTANTE EN MUROS, PISO,LOZA, CUELLO, BOQUILLAS;;0;JUNIO;2021;OO.CC
166106;ID;ALVARO CASANOVA 661 ;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-08;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;CAMARA DM-2201 DETALLES EN BOQUILLAS, ASEO AL INTERIOR DE CAMARAS;;0;JUNIO;2021;OO.CC
166106;ID;ALVARO CASANOVA 661 ;BUREAU VERITAS (ESPECTRO);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-06-08;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;REPOSICION DE ACERA DETALLES MALA TERMINACION, PEINADO;;0;JUNIO;2021;OO.CC
